Date,Stock_1,Prob_1,Weight_1,Stock_2,Prob_2,Weight_2,Turnover,Gross_Return,Net_Return
2025-09-12,META,0.5826260084634589,0.5,MSFT,0.5734858792710116,0.5,1.0,0.022955023611768488,0.021955023611768487
2025-09-19,AAPL,0.5813638967996404,0.5,META,0.5736591285157014,0.5,1.0,-0.001637290588094642,-0.002637290588094642
2025-09-26,GOOGL,0.5803179635974447,0.5,TSLA,0.5681968592463764,0.5,2.0,-0.01441386302616715,-0.016413863026167153
2025-10-03,TSLA,0.6495999132599537,0.5,GOOGL,0.5884270844279976,0.5,0.0,-0.03690030370169223,-0.03690030370169223
2025-10-10,AAPL,0.6016116406913555,0.5,TSLA,0.583459557754534,0.5,1.0,0.0455327588958615,0.0445327588958615
2025-10-17,V,0.7732703690909333,0.5,JNJ,0.6115637295518895,0.5,2.0,0.0007314821510249203,-0.0012685178489750797
2025-10-24,V,0.7095148345039768,0.5,BRK-B,0.6138346443454095,0.5,1.0,-0.0243510596152563,-0.0253510596152563
2025-10-31,MSFT,0.6904215527355486,0.5,GOOGL,0.6303460433469189,0.5,2.0,-0.02446455072962378,-0.02646455072962378
2025-11-07,MSFT,0.6665656376531648,0.5,V,0.6200902954981484,0.5,1.0,0.005490170917904769,0.004490170917904769
2025-11-14,MSFT,0.6588869797507775,0.5,BRK-B,0.6134164091910531,0.5,1.0,-0.04124849474876652,-0.04224849474876652
2025-11-21,AMZN,0.6353803388608107,0.5,MSFT,0.6072274997230328,0.5,1.0,0.04945281620517328,0.04845281620517328
2025-11-28,V,0.6338926198478497,0.5,GOOGL,0.6190410769030227,0.5,2.0,-0.003081989110065575,-0.005081989110065575
2025-12-05,JNJ,0.6391829384062926,0.5,GOOGL,0.6129032543145777,0.5,1.0,0.005564640494006623,0.004564640494006623
2025-12-12,V,0.693858687500803,0.5,GOOGL,0.6175870781275241,0.5,1.0,-0.0014021471806420216,-0.0024021471806420216
2025-12-19,V,0.7246689099156891,0.5,BRK-B,0.5920072403562159,0.5,1.0,0.012043646858583723,0.011043646858583722
2025-12-26,JNJ,0.6619261862621105,0.5,V,0.6177431448788201,0.5,1.0,-0.003677546792219988,-0.004677546792219988
